,Year,dem_congress,tax_cut,tax_increase,unified_congress,unified_government,pct_of_year_in_recession,recession_year,value_GGNLEND,last_value_GGNLEND,diff_value_GGNLEND,pct_change_GGNLEND,lag_pct_change_GGNLEND,lag_diff_value_GGNLEND,value_real_per_capita_gdp_growth,lag_value_real_per_capita_gdp_growth,value_NY.GDP.MKTP.KD.ZG,value_NY.GDP.PCAP.KD.ZG,last_value_NY.GDP.MKTP.KD.ZG,last_value_NY.GDP.PCAP.KD.ZG,diff_value_NY.GDP.MKTP.KD.ZG,diff_value_NY.GDP.PCAP.KD.ZG,pct_change_NY.GDP.MKTP.KD.ZG,pct_change_NY.GDP.PCAP.KD.ZG,lag_pct_change_NY.GDP.MKTP.KD.ZG,lag_pct_change_NY.GDP.PCAP.KD.ZG,lag_diff_value_NY.GDP.MKTP.KD.ZG,lag_diff_value_NY.GDP.PCAP.KD.ZG,z_value_NY.GDP.PCAP.KD.ZG,lag_z_value_NY.GDP.PCAP.KD.ZG,real_gdp_per_capita_z,lag_real_gdp_per_capita_z,value_top_tax_rate,last_value_top_tax_rate,diff_value_top_tax_rate,pct_change_top_tax_rate,lag_pct_change_top_tax_rate,lag_diff_value_top_tax_rate,value_GGEXP,last_value_GGEXP,diff_value_GGEXP,pct_change_GGEXP,lag_pct_change_GGEXP,lag_diff_value_GGEXP,value_GGREV,last_value_GGREV,diff_value_GGREV,pct_change_GGREV,lag_pct_change_GGREV,lag_diff_value_GGREV,president_dem
lag_pct_change_top_tax_rate,0.196535184,-0.017412786,-0.070580172,0.10811866,-0.032200717,0.206575686,0.089841191,-0.021842829,0.058351328,0.049825189,0.014011234,-0.305421738,-0.113034055,0.170987959,-0.250041535,0.048754699,-0.165090398,-0.186121748,0.133795678,0.107806888,-0.264524162,-0.256681401,0.040777407,-0.007638014,-0.129221773,-0.016303524,0.106759995,0.107390275,-0.186121748,0.107806888,-0.250041535,0.048754699,0.137524532,0.051912702,0.209110009,0.272329397,1,0.957016871,0.049093625,0.043261603,0.010831314,0.01967673,-0.164612793,-0.157774889,0.223930467,0.189354894,0.040483237,0.045256247,0.146552522,0.145174901,0.322099585
lag_diff_value_top_tax_rate,0.237577334,-0.024080273,-0.053961408,0.099251017,0.014606067,0.181391565,0.116546591,0.029842179,0.077739116,0.068813014,0.014752511,-0.269728177,-0.13397048,0.213856319,-0.338035513,0.125372315,-0.198548674,-0.215186383,0.219140926,0.201561952,-0.370327817,-0.364926157,0.04844487,0.005127035,-0.07947082,-0.001132806,0.169112205,0.168735691,-0.215186383,0.201561952,-0.338035513,0.125372315,0.12225733,0.04387882,0.191997633,0.248010438,0.957016871,1,0.030732389,0.014607255,0.031933275,0.039869676,-0.235771975,-0.225557292,0.23522594,0.180578984,0.067958399,0.074152,0.14423759,0.141920538,0.310299828
value_GGEXP,0.515376656,0.052693702,-0.078623097,0.135478978,-0.183009322,-0.017995641,-0.041932996,-0.019495614,-0.909044519,-0.763810017,-0.238239382,0.268084916,0.241496429,-0.455749644,-0.282445573,-0.556418245,-0.489320437,-0.461913379,-0.626279511,-0.606279168,0.132781584,0.137306989,0.081444914,-0.056669395,0.177108176,-0.017088261,-0.106374618,-0.105417875,-0.461913379,-0.606279168,-0.282445573,-0.556418245,-0.430966376,-0.412411433,0.015743727,0.042624026,0.049093625,0.030732389,1,0.875902569,0.231319604,0.236262026,0.491212,0.487532902,-0.276443298,-0.143218505,-0.175621994,-0.172848321,-0.289130346,-0.292832875,0.036022114
last_value_GGEXP,0.540488037,-0.007544932,-0.114322295,0.107765574,-0.126323421,-0.028907327,-0.35041211,-0.354312515,-0.769759842,-0.900946912,0.207169906,0.20459558,0.266285846,-0.257464287,0.030749576,-0.29475485,-0.115464204,-0.081267237,-0.503606238,-0.478418856,0.350272727,0.353580396,0.042029157,-0.126217802,0.143355477,-0.049433799,0.067394817,0.071274703,-0.081267237,-0.478418856,0.030749576,-0.29475485,-0.425610028,-0.448479478,0.126238188,0.119496666,0.043261603,0.014607255,0.875902569,1,-0.266788456,-0.260896885,0.258635701,0.253195599,-0.181079379,-0.228396748,0.071726078,0.074131091,-0.193800022,-0.196647854,0.209731798
diff_value_GGEXP,-0.06037856,0.120467492,0.073469622,0.053319089,-0.110839884,0.022342328,0.622803087,0.675485761,-0.263662571,0.290961528,-0.893608567,0.1229496,-0.054550936,-0.391200919,-0.626179163,-0.517091543,-0.744583277,-0.758792496,-0.235514129,-0.246351315,-0.441054752,-0.438684902,0.077937101,0.1413073,0.064709476,0.0655439,-0.348373427,-0.354285674,-0.758792496,-0.246351315,-0.626179163,-0.517091543,-0.00265187,0.0805245,-0.223096182,-0.155810154,0.010831314,0.031933275,0.231319604,-0.266788456,1,0.997992711,0.459673884,0.463294294,-0.187062741,0.174459383,-0.495426405,-0.494735488,-0.186755118,-0.188408504,-0.350945326
pct_change_GGEXP,-0.057375438,0.107619564,0.091643738,0.052374467,-0.139470723,0.009773051,0.631864437,0.684555094,-0.268075317,0.282732629,-0.88749141,0.113425113,-0.067563998,-0.379924246,-0.649943749,-0.522418424,-0.762776804,-0.775636968,-0.238031387,-0.248166718,-0.454733543,-0.451660665,0.067967417,0.147670457,0.065631936,0.065398113,-0.346556216,-0.352170698,-0.775636968,-0.248166718,-0.649943749,-0.522418424,0.002700995,0.089444627,-0.233496444,-0.162719999,0.01967673,0.039869676,0.236262026,-0.260896885,0.997992711,1,0.450201296,0.452879302,-0.188244174,0.166560372,-0.486064761,-0.48484781,-0.17715081,-0.178847843,-0.353637366
lag_pct_change_GGEXP,0.006864315,0.1442693,0.15839695,0.008530801,-0.058410814,0.153342675,0.16967818,0.167659607,-0.556246755,-0.265324671,-0.470841368,0.239261612,0.117771771,-0.919529278,-0.110057693,-0.655804614,-0.303738604,-0.307344015,-0.773205726,-0.78536592,0.427022996,0.429833011,-0.084837941,0.190723404,0.170083378,0.152896282,-0.48913599,-0.48637398,-0.307344015,-0.78536592,-0.110057693,-0.655804614,-0.096855231,-0.066564389,-0.066649932,-0.037532079,-0.164612793,-0.235771975,0.491212,0.258635701,0.459673884,0.450201296,1,0.998055145,-0.388823091,-0.131557306,-0.343992789,-0.345406396,-0.566230555,-0.570597433,-0.329274044
lag_diff_value_GGEXP,0.001623847,0.169312843,0.139202965,0.003115671,-0.025619518,0.176078025,0.16848905,0.168075043,-0.552895373,-0.261165246,-0.472124438,0.227614922,0.126992666,-0.925057506,-0.109148796,-0.632757217,-0.295901194,-0.300960058,-0.755387414,-0.76889354,0.417916205,0.420763671,-0.079521205,0.174747313,0.174781123,0.146611625,-0.474952014,-0.472824368,-0.300960058,-0.76889354,-0.109148796,-0.632757217,-0.099965462,-0.069382438,-0.066961601,-0.037348921,-0.157774889,-0.225557292,0.487532902,0.253195599,0.463294294,0.452879302,0.998055145,1,-0.387790073,-0.13197919,-0.342008388,-0.343746433,-0.575814635,-0.579724728,-0.31790691
value_GGREV,0.291552409,-0.331025403,-0.215421442,0.235965238,0.152948102,-0.38737364,-0.073494897,-0.078865473,0.651759607,0.471967703,0.292537206,-0.3896161,-0.12823244,0.428961656,-0.039198081,0.160749489,0.092257049,0.065288871,0.2317367,0.205853092,-0.126910686,-0.125884691,-0.091019273,-0.110958702,0.081030748,-0.174666109,-0.075254408,-0.07943739,0.065288871,0.205853092,-0.039198081,0.160749489,-0.360243139,-0.414171801,0.199745947,0.207320537,0.223930467,0.23522594,-0.276443298,-0.181079379,-0.187062741,-0.188244174,-0.388823091,-0.387790073,1,0.734240238,0.335316108,0.330566717,0.364339745,0.375475563,0.126431991
last_value_GGREV,0.386753836,-0.336556891,-0.02748398,0.134519039,0.073953846,-0.377050053,0.06973638,0.059904836,0.431388967,0.628233114,-0.314506069,-0.271550836,-0.365267308,0.212140598,-0.173855884,-0.06596282,-0.130980433,-0.152011337,0.035425305,0.012581391,-0.146474733,-0.142764855,0.0400818,0.202629432,0.070001123,-0.099654099,-0.205006274,-0.204218511,-0.152011337,0.012581391,-0.173855884,-0.06596282,-0.411747239,-0.418701883,0.081363955,0.081632185,0.189354894,0.180578984,-0.143218505,-0.228396748,0.174459383,0.166560372,-0.131557306,-0.13197919,0.734240238,1,-0.393383295,-0.397614581,0.261501197,0.269690808,-0.014100758
diff_value_GGREV,-0.141874464,0.018759782,-0.253590783,0.132877671,0.104500411,-0.001355853,-0.196303422,-0.189933047,0.283988986,-0.232654695,0.832608285,-0.150795543,0.333230493,0.286523072,0.188179155,0.309229802,0.306701049,0.299364771,0.264665138,0.261313565,0.031398649,0.027639832,-0.178883387,-0.431455847,0.012592845,-0.098247008,0.182578378,0.175820457,0.299364771,0.261313565,0.188179155,0.309229802,0.08353497,0.020154089,0.157592452,0.167477982,0.040483237,0.067958399,-0.175621994,0.071726078,-0.495426405,-0.486064761,-0.343992789,-0.342008388,0.335316108,-0.393383295,1,0.999440041,0.130511519,0.134227157,0.190786151
pct_change_GGREV,-0.13403325,0.016232062,-0.242618559,0.137241569,0.096896689,0.00275321,-0.194721342,-0.19081535,0.279740752,-0.236462582,0.831878424,-0.152382641,0.318958966,0.28730408,0.182379808,0.306359953,0.302097877,0.29594977,0.262591237,0.260236151,0.029225808,0.025637755,-0.178979198,-0.419117665,0.016488952,-0.104099557,0.181777699,0.175207211,0.29594977,0.260236151,0.182379808,0.306359953,0.088462302,0.02404688,0.159622282,0.16861989,0.045256247,0.074152,-0.172848321,0.074131091,-0.494735488,-0.48484781,-0.345406396,-0.343746433,0.330566717,-0.397614581,0.999440041,1,0.129672508,0.133461137,0.187284902
lag_pct_change_GGREV,-0.051128513,-0.142762309,-0.058544257,-0.068757869,-0.171914796,-0.262399816,0.049296801,0.049049049,0.386152263,0.271428552,0.186515548,-0.133161715,-0.122386678,0.842921752,-0.094063,0.223028914,0.010701596,0.006960067,0.35909254,0.367704944,-0.312497005,-0.31981025,-0.084998616,-0.189626567,-0.219643085,-0.478872343,0.102136829,0.099096331,0.006960067,0.367704944,-0.094063,0.223028914,0.083439261,0.124105727,-0.121974385,-0.12096741,0.146552522,0.14423759,-0.289130346,-0.193800022,-0.186755118,-0.17715081,-0.566230555,-0.575814635,0.364339745,0.261501197,0.130511519,0.129672508,1,0.999390044,0.060851835
lag_diff_value_GGREV,-0.053696025,-0.143426965,-0.06321399,-0.063017676,-0.168810011,-0.271135249,0.054284248,0.053908541,0.393902678,0.277354582,0.18948972,-0.143306793,-0.12004964,0.845766524,-0.094648022,0.23031475,0.016407368,0.01176367,0.365060023,0.372837025,-0.312848418,-0.320198865,-0.089477477,-0.199341511,-0.21515982,-0.496485745,0.101942093,0.09869919,0.01176367,0.372837025,-0.094648022,0.23031475,0.077063878,0.116174251,-0.116822608,-0.115255631,0.145174901,0.141920538,-0.292832875,-0.196647854,-0.188408504,-0.178847843,-0.570597433,-0.579724728,0.375475563,0.269690808,0.134227157,0.133461137,0.999390044,1,0.05980771
president_dem,0.141592624,0.134839972,-0.459532757,0.091129953,0.269679945,0.134839972,-0.218474279,-0.242674602,0.026392423,-0.173891743,0.322349987,-0.029042508,0.062138979,0.236050334,0.068665875,0.067370475,0.035891358,0.025141072,0.089931561,0.071382095,-0.049173478,-0.04148632,0.250747486,-0.139056881,-0.099110434,-0.145393879,0.170068383,0.172061714,0.025141072,0.071382095,0.068665875,0.067370475,0.25299637,0.103382046,0.363511325,0.366633244,0.322099585,0.310299828,0.036022114,0.209731798,-0.350945326,-0.353637366,-0.329274044,-0.31790691,0.126431991,-0.014100758,0.190786151,0.187284902,0.060851835,0.05980771,1
